Contract A,Contract B,Similarity
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0x3d90.sol,98.77
TransparentUpgradeableProxy_0x3d90.sol,VaultProxy_0x0e60.sol,98.77
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0x6874.sol,98.77
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x1a88.sol,98.77
ERC1967Proxy_0xb2ec.sol,VaultProxy_0x0e60.sol,98.74
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x6874.sol,98.73
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x6874.sol,98.73
TransparentUpgradeableProxy_0x6874.sol,ERC1967Proxy_0x445f.sol,98.73
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0x3d90.sol,98.73
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0xf668.sol,98.71
TransparentUpgradeableProxy_0x6874.sol,ERC1967Proxy_0xb2ec.sol,98.71
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0x6874.sol,98.69
ZKPToken_0xe1be.sol,OperatorRewarder_0x6613.sol,98.69
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xbca3.sol,98.68
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0xb773.sol,98.68
ERC1967Proxy_0x0d9a.sol,ERC1967Proxy_0xb773.sol,98.68
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x5aea.sol,98.68
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xd72a.sol,98.68
GlideDepositFactory_0x442b.sol,RelayDepository_0x4cd0.sol,98.66
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0x445f.sol,98.65
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0xebf6.sol,98.65
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0xebf6.sol,98.65
TransparentUpgradeableProxy_0xda9c.sol,ERC1967Proxy_0xebf6.sol,98.65
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0xee7a.sol,98.65
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0xebf6.sol,98.65
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x445f.sol,98.65
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0x445f.sol,98.65
ENA_0x57e1.sol,GravityTokenG_0x9c7b.sol,98.65
TransparentUpgradeableProxy_0xda9c.sol,ERC1967Proxy_0x445f.sol,98.65
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x5c7b.sol,98.65
ERC1967Proxy_0x423d.sol,TransparentUpgradeableProxy_0x1c47.sol,98.65
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xda9c.sol,98.65
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0xee7a.sol,98.65
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0xb2ec.sol,98.64
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0xb2ec.sol,98.64
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0xb2ec.sol,98.64
TransparentUpgradeableProxy_0xda9c.sol,ERC1967Proxy_0xb2ec.sol,98.64
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xf668.sol,98.63
TransparentUpgradeableProxy_0x2e51.sol,VaultProxy_0x0e60.sol,98.61
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xf668.sol,98.61
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x423d.sol,98.58
TransparentUpgradeableProxy_0x4867.sol,TransparentUpgradeableProxy_0x6874.sol,98.56
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x423d.sol,98.56
ERC1967Proxy_0xb773.sol,VaultProxy_0x0e60.sol,98.56
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x423d.sol,98.55
CumulativeMerkleDrop_0x1300.sol,MAKA_0x9ff7.sol,98.54
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xf4e1.sol,98.51
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x4867.sol,98.51
ERC1967Proxy_0x09c3.sol,ERC1967Proxy_0xb773.sol,98.5
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0x4867.sol,98.49
CumulativeMerkleDrop_0x1300.sol,ShiroToken_0xb0ac.sol,98.48
UltimateTokenOwnable_0x464d.sol,VirtualToken_0x44ff.sol,98.46
TransparentUpgradeableProxy_0x1c47.sol,VaultProxy_0x0e60.sol,98.46
SaharaToken_0xfdff.sol,OperatorRewarder_0x6613.sol,98.45
